"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.641498733E1,6.496175396E1,2.537855818E1,2.752551452E0,2.104496752E0,5.375640488E1,4.748651380E0,4.674320444E0
9.741497457E1,6.496176753E1,2.537858608E1,2.623394078E0,1.996319900E0,5.375640488E1,4.748651411E0,4.444639843E0
9.841496325E1,6.496178144E1,2.537860954E1,2.765208634E0,1.955508231E0,5.375640488E1,4.748651437E0,4.396379865E0
9.941495061E1,6.496179231E1,2.537865881E1,3.499791691E0,2.087319469E0,5.359365845E1,4.748651426E0,4.112685783E0
1.004149376E2,6.496179797E1,2.537869592E1,3.496528026E0,2.007264378E0,5.359365845E1,4.748651418E0,4.480808887E0
1.014149262E2,6.496180245E1,2.537874033E1,3.762060315E0,1.996414615E0,5.359365845E1,4.748651396E0,4.392821712E0
1.024149141E2,6.496181298E1,2.537876705E1,3.525241623E0,1.948894582E0,5.359365845E1,4.748651411E0,4.500523941E0
1.034149019E2,6.496181685E1,2.537881411E1,3.762418453E0,1.986342957E0,5.359365845E1,4.748651379E0,4.966227343E0
1.044148893E2,6.496182264E1,2.537884273E1,3.308477954E0,1.919433245E0,5.359365845E1,4.748651351E0,5.016467263E0
1.054148773E2,6.496182729E1,2.537887536E1,3.349035401E0,1.821579002E0,5.359365845E1,4.748651370E0,5.114061569E0
1.064148647E2,6.496183617E1,2.537891332E1,2.927263765E0,1.954762420E0,5.359365845E1,4.748651360E0,4.957802495E0
1.074148527E2,6.496184942E1,2.537893499E1,2.384045419E0,1.955488186E0,5.359365845E1,4.748651389E0,4.609636753E0
1.084148408E2,6.496187062E1,2.537894480E1,2.719600759E0,1.936641679E0,5.359365845E1,4.748651416E0,4.381959006E0
1.094148282E2,6.496189422E1,2.537893326E1,2.920144453E0,1.960394130E0,5.359365845E1,4.748651459E0,4.792089800E0
1.104148163E2,6.496191748E1,2.537891685E1,1.748994940E0,2.081689941E0,1.107108728E0,4.748651471E0,4.781681445E0
1.114148043E2,6.496193855E1,2.537888128E1,3.444911895E0,2.122200693E0,3.441721597E2,4.748651498E0,4.297839363E0
1.124147916E2,6.496195418E1,2.537885606E1,1.811115718E0,2.144076808E0,3.201635437E2,4.748651501E0,3.775437738E0
1.134147798E2,6.496196958E1,2.537882771E1,9.885201138E-1,2.118278629E0,3.201635437E2,4.748651486E0,3.678641926E0
1.144147683E2,6.496199318E1,2.537884195E1,1.716880411E0,2.037566906E0,3.201688843E2,4.748651469E0,4.133357454E0
