"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.154319958E0,-6.964422682E-1,-1.807076150E-1,-3.466970866E0
3.164357958E0,1.137315604E-1,3.476348045E-1,-1.796524850E0
3.174394958E0,6.175858408E-2,3.577230057E-1,-1.779994186E0
3.184432958E0,8.318631980E-1,3.126596841E-1,3.067537040E-1
3.194469958E0,7.810237044E-1,8.296672761E-2,4.473716390E-1
3.204507958E0,6.983668792E-1,1.825939268E-2,5.972603345E-1
3.214545958E0,5.860857207E-1,2.150339869E-1,6.786407125E-1
3.224582958E0,5.394451126E-1,5.326430467E-1,4.642677534E-1
3.234620958E0,4.063443580E-1,8.189139542E-1,1.089956081E-1
3.244657958E0,4.428014553E-1,9.755354261E-1,1.899351060E-1
3.254695958E0,6.517356268E-1,1.122774163E0,8.756620592E-1
3.264733958E0,9.067698312E-1,1.236599864E0,1.654746827E0
3.274770958E0,1.056802661E0,1.252544344E0,2.168976699E0
3.284808958E0,9.377132964E-1,1.283669365E0,2.216202321E0
3.294845958E0,5.852440140E-1,1.269741298E0,1.937349191E0
3.304883958E0,2.245886296E-1,1.239664682E0,1.397542428E0
3.314921958E0,-2.633121076E-1,1.053246969E0,6.545221174E-1
3.324958958E0,-1.020483558E0,9.000022638E-1,-6.359010744E-1
3.334996958E0,-1.751693662E0,7.479737797E-1,-2.101539592E0
3.345033958E0,-1.953015344E0,7.499720657E-1,-2.931154243E0
3.355071958E0,-1.579493161E0,6.512850988E-1,-2.632038757E0
3.365109958E0,-9.623832840E-1,1.082816631E-2,-1.462740637E0
3.375146958E0,-5.339598396E-1,-7.794458333E-1,-2.033702534E-1
3.385184958E0,-1.523980281E-1,-1.680436276E0,1.037788977E0
3.395221958E0,-2.227221984E-1,-2.509472346E0,1.170851140E0
3.405260708E0,-4.533065629E-1,-3.244830173E0,4.074860269E-1
3.415298708E0,-7.943293360E-1,-3.528923870E0,-9.429658502E-1
3.425335708E0,-1.060501902E0,-3.579444398E0,-2.592677055E0
3.435373708E0,-1.355914054E0,-3.504841235E0,-4.130878349E0
3.445410708E0,-1.783043509E0,-3.478640446E0,-5.251182064E0
3.455448708E0,-2.244951326E0,-3.781563055E0,-5.863030032E0
3.465486708E0,-2.585366866E0,-4.281857550E0,-6.070392764E0
3.475523708E0,-2.860166706E0,-5.013546542E0,-5.715638098E0
3.485561708E0,-2.948687119E0,-5.895205505E0,-5.075302495E0
3.495598708E0,-2.890119653E0,-6.867721429E0,-4.174638326E0
3.505636708E0,-2.816675116E0,-7.468952608E0,-3.195174156E0
3.515674708E0,-2.519940031E0,-7.793860747E0,-2.463238996E0
3.525711708E0,-1.960262675E0,-7.896392258E0,-1.632090620E0
3.535749708E0,-1.291197948E0,-7.924285231E0,-1.193816372E0
3.545786708E0,-6.890785772E-1,-7.673306948E0,-1.458479479E0
3.555824708E0,4.267707288E-2,-7.491517013E0,-1.372430684E0
3.565862708E0,6.453975374E-1,-7.886282423E0,-1.060846595E0
3.575899708E0,1.023013063E0,-8.119056569E0,-3.226385424E-1
3.585937708E0,1.400297052E0,-8.064306166E0,9.178289625E-1
3.595974708E0,1.596484585E0,-7.591509663E0,2.223934533E0
3.606012708E0,2.198404566E0,-6.521785533E0,3.984171124E0
3.616050708E0,3.391545292E0,-4.929890428E0,5.490722609E0
3.626087708E0,4.388305526E0,-2.786549091E0,5.861194006E0
3.636125708E0,4.308840696E0,-2.431717388E0,5.939276555E0
3.646162708E0,4.210443166E0,-9.617231333E-1,3.066371105E0
3.656200708E0,3.408357791E0,-2.043522933E0,3.673864067E-1
3.666238708E0,2.726143261E0,-3.172793353E0,-9.417297488E-1
3.676275708E0,2.522480646E0,-3.431123341E0,-1.031680391E0
3.686313708E0,3.217674826E0,-3.019631679E0,1.333399057E-1
3.696350708E0,4.366413551E0,-1.625537061E0,1.666476341E0
3.706388708E0,5.058655472E0,-5.487303084E-1,2.370301597E0
3.716426708E0,5.304477680E0,3.723335896E-1,2.186907186E0
3.726463708E0,5.296416709E0,8.591213094E-1,1.320028814E0
3.736501708E0,5.194227844E0,1.206858586E0,4.511939273E-1
3.746538708E0,5.194161186E0,1.394047255E0,3.757888556E-1
3.756576708E0,5.261736873E0,1.167211833E0,1.027102606E0
3.766614708E0,5.277574641E0,7.877249059E-1,1.585535089E0
3.776651708E0,5.999261386E0,1.100193971E0,2.015960328E0
3.786689708E0,7.450460789E0,2.407331136E0,2.613792520E0
3.796726708E0,8.131239243E0,3.989484781E0,2.907526814E0
3.806764708E0,8.061317654E0,4.359213290E0,2.070593203E0
3.816802708E0,7.404569501E0,3.939804790E0,4.555039465E-1
3.826839708E0,6.446741783E0,4.108363060E0,-5.346670604E-1
3.836877708E0,6.160010700E0,4.388285646E0,-6.461103129E-1
3.846914708E0,6.613090391E0,4.917743422E0,-2.842133089E-1
3.856952708E0,7.339753700E0,5.717002253E0,2.121667681E-1
3.866990708E0,7.829893629E0,6.197948020E0,8.434163459E-1
3.877027708E0,8.076908669E0,6.328543242E0,1.489189932E0
3.887065708E0,8.135753878E0,6.430459626E0,1.979422832E0
3.897102708E0,8.151148428E0,6.427498012E0,1.797211313E0
3.907140708E0,4.802418787E0,5.214115394E0,-1.877693120E0
3.917178708E0,2.238377886E0,3.365009458E0,-5.510430649E0
3.927215708E0,1.120421244E0,2.214318056E0,-5.964290358E0
3.937253708E0,1.819863426E0,1.976421163E0,-3.675522922E0
